dell,metric,Algorithm,value,Entropy
dell,Quality,Hierarchical,20.25,Transitions
dell,Quality,Hierarchical,10.67,Transitions
dell,Quality,Hierarchical,14.25,Transitions
dell,Quality,Hierarchical,4.5,Transitions
dell,Quality,Hierarchical,0,Transitions
dell,Quality,Hierarchical,2,Transitions
dell,Quality,Hierarchical,9.28,Transitions
dell,Quality,Hierarchical,5.5,Transitions
dell,Density,Genetic,0.14,Transitions
dell,Density,Genetic,0.12,Transitions
dell,Density,Genetic,0.11,Transitions
dell,Density,Genetic,0.08,Transitions
dell,Density,Genetic,0.14,Transitions
dell,Density,Genetic,0.13,Transitions
dell,Density,Genetic,0.09,Transitions
dell,Density,Genetic,0.13,Transitions
dell,CC,Genetic,38,Transitions
dell,CC,Genetic,130,Transitions
dell,CC,Genetic,95,Transitions
dell,CC,Genetic,45,Transitions
dell,CC,Genetic,78,Transitions
dell,CC,Genetic,93,Transitions
dell,CC,Genetic,69,Transitions
dell,CC,Genetic,38,Transitions
dell,CNC,Genetic,2.76,Transitions
dell,CNC,Genetic,4.49,Transitions
dell,CNC,Genetic,3.76,Transitions
dell,CNC,Genetic,2.38,Transitions
dell,CNC,Genetic,3.75,Transitions
dell,CNC,Genetic,3.88,Transitions
dell,CNC,Genetic,3.16,Transitions
dell,CNC,Genetic,2.68,Transitions
dell,CFC,Genetic,31,Transitions
dell,CFC,Genetic,128,Transitions
dell,CFC,Genetic,91,Transitions
dell,CFC,Genetic,43,Transitions
dell,CFC,Genetic,76,Transitions
dell,CFC,Genetic,91,Transitions
dell,CFC,Genetic,67,Transitions
dell,CFC,Genetic,33,Transitions
dell,Quality,Genetic,10.5,Transitions
dell,Quality,Genetic,26.25,Transitions
dell,Quality,Genetic,23.67,Transitions
dell,Quality,Genetic,21.25,Transitions
dell,Quality,Genetic,17.75,Transitions
dell,Quality,Genetic,21.34,Transitions
dell,Quality,Genetic,23,Transitions
dell,Quality,Genetic,10.4,Transitions
